gratis	gratis	adverbe
gynotikolobomassophile	gynotikolobomassophile	noun
google	google	verb:simple_present+transitive
googles	google	verb:simple_present+transitive
googled	google	verb:simple_past+transitive
googled	google	verb:past_participle+transitive
googling	google	verb:present_participle+transitive
google	google	verb:simple_present+intransitive
googles	google	verb:simple_present+intransitive
googled	google	verb:simple_past+intransitive
googled	google	verb:past_participle+intransitive
googling	google	verb:present_participle+intransitive
google	google	noun
googles	google	noun:plural
growth	growth	noun
growths	growth	noun:plural
German	German	noun
German	German	noun
German	German	adjective
German	German	adjective
grass	grass	noun
grass	grass	verb:simple_present+intransitive
grasss	grass	verb:simple_present+intransitive
grassed	grass	verb:simple_past+intransitive
grassed	grass	verb:past_participle+intransitive
grassing	grass	verb:present_participle+intransitive
grok	grok	verb:simple_present+
groks	grok	verb:simple_present+
???	grok	verb:simple_past+
???	grok	verb:past_participle+
???	grok	verb:present_participle+
grokking	grok	verb:present_participle
gnosis	gnosis	noun
Greece	Greece	proper noun
Germany	Germany	proper noun
Greenland	Greenland	proper noun
gratuitous	gratuitous	adjective
government	government	noun
global	global	adjective
globalisation	globalisation	noun
gleaming	gleaming	adjective
gleaming	gleaming	noun
Gabon	Gabon	proper noun
Ghana	Ghana	proper noun
Gambia	Gambia	proper noun
Guatemala	Guatemala	proper noun
Guyana	Guyana	proper noun
gas	gas	noun
Greek	Greek	proper noun
schema	Greek	proper noun:plural
Greek	Greek	adjective
Greek	Greek	verb:simple_present+
Greeks	Greek	verb:simple_present+
Greeked	Greek	verb:simple_past+
Greeked	Greek	verb:past_participle+
Greeking	Greek	verb:present_participle+
general	general	adjective
general	general	noun
generals	general	noun:plural
genome	genome	noun
gag	gag	noun
gag	gag	verb:simple_present+
gags	gag	verb:simple_present+
???	gag	verb:simple_past+
???	gag	verb:past_participle+
???	gag	verb:present_participle+
Georgia	Georgia	proper noun
Guadeloupe	Guadeloupe	proper noun
Guinea	Guinea	proper noun
Guinea	Guinea	noun
Guinea-Bissau	Guinea-Bissau	proper noun
Guam	Guam	proper noun
Grenada	Grenada	proper noun
ground	ground	noun
ground	ground	verb:simple_present+
grounds	ground	verb:simple_present+
grounded	ground	verb:simple_past+
grounded	ground	verb:past_participle+
grounding	ground	verb:present_participle+
ground	ground	verb:simple_present+
grounds	ground	verb:simple_present+
grounded	ground	verb:simple_past+
grounded	ground	verb:past_participle+
grounding	ground	verb:present_participle+
ground	ground	verb:simple_present+transitive
grounds	ground	verb:simple_present+transitive
grounded	ground	verb:simple_past+transitive
grounded	ground	verb:past_participle+transitive
grounding	ground	verb:present_participle+transitive
grounding	ground	verb:present_participle
gismu	gismu	noun
give	give	verb:simple_present+transitive
gives	give	verb:simple_present+transitive
gave	give	verb:simple_past+transitive
given	give	verb:past_participle+transitive
giving	give	verb:present_participle+transitive
give	give	verb:simple_present+intransitive
gives	give	verb:simple_present+intransitive
gave	give	verb:simple_past+intransitive
given	give	verb:past_participle+intransitive
giving	give	verb:present_participle+intransitive
give	give	noun
gold	gold	noun
gold	gold	adjective
green	green	noun
greens	green	noun:plural
green	green	adjective
green	green	verb:simple_present+
greens	green	verb:simple_present+
greened	green	verb:simple_past+
greened	green	verb:past_participle+
greening	green	verb:present_participle+
greening	green	verb:present_participle
grey	grey	noun
grey	grey	adjective
grey	grey	verb:simple_present+
greys	grey	verb:simple_present+
greyed	grey	verb:simple_past+
greyed	grey	verb:past_participle+
greying	grey	verb:present_participle+
grapefruit	grapefruit	noun
guanaco	guanaco	noun
girl	girl	noun
girls	girl	noun:plural
genitive	genitive	adjective
genitive	genitive	noun
grandfather	grandfather	noun
grandparent	grandparent	noun
grandmother	grandmother	noun
grandchild	grandchild	noun
grandson	grandson	noun
granddaughter	granddaughter	noun
good	good	adjective
good	good	noun
goods	good	noun:plural
galician	galician	noun
galician	galician	adjective
gossip	gossip	noun
gossips	gossip	noun:plural
gossip	gossip	verb:simple_present+
gossips	gossip	verb:simple_present+
???	gossip	verb:simple_past+
???	gossip	verb:past_participle+
???	gossip	verb:present_participle+
gray	gray	adjective
gray	gray	noun
gun	gun	noun
gun	gun	verb:simple_present+
guns	gun	verb:simple_present+
???	gun	verb:simple_past+
???	gun	verb:past_participle+
???	gun	verb:present_participle+
gunning	gun	verb:present_participle
gun	gun	verb:simple_present+
guns	gun	verb:simple_present+
???	gun	verb:simple_past+
???	gun	verb:past_participle+
???	gun	verb:present_participle+
goodbye	goodbye	interjection
grape	grape	noun
grape	grape	adjective
guacamole	guacamole	noun
guava	guava	noun
gay	gay	adjective
gay	gay	noun
gays	gay	noun:plural
gay	gay	proper noun
gay	gay	proper noun
gyroscope	gyroscope	noun
gnaw	gnaw	verb:simple_present+
gnaws	gnaw	verb:simple_present+
???	gnaw	verb:simple_past+
???	gnaw	verb:past_participle+
???	gnaw	verb:present_participle+
god	god	noun
gods	god	noun:plural
gripe	gripe	verb:simple_present+
gripes	gripe	verb:simple_present+
griped	gripe	verb:simple_past+
griped	gripe	verb:past_participle+
griping	gripe	verb:present_participle+
gripe	gripe	noun
graffiti	graffiti	noun
graip	graip	noun
gibberish	gibberish	noun
gaffer	gaffer	noun
gaffers	gaffer	noun:plural
gaffer	gaffer	noun
gaffe	gaffe	noun
gaffes	gaffe	noun:plural
graft	graft	noun
grafts	graft	noun:plural
graft	graft	verb:simple_present+
grafts	graft	verb:simple_present+
grafted	graft	verb:simple_past+
grafted	graft	verb:past_participle+
grafting	graft	verb:present_participle+
grafting	graft	verb:present_participle
grafter	grafter	noun
Goa	Goa	proper noun
Gujarat	Gujarat	proper noun
grafting	grafting	noun
goose	goose	noun
geese	goose	noun:plural
goose	goose	verb:simple_present+
gooses	goose	verb:simple_present+
goosed	goose	verb:simple_past+
goosed	goose	verb:past_participle+
goosing	goose	verb:present_participle+
Gandhinagar	Gandhinagar	proper noun
gangtok	gangtok	proper noun
Georgetown	Georgetown	proper noun
gravitation	gravitation	noun
galaxy	galaxy	noun
galaxies	galaxy	noun:plural
grammar	grammar	noun
grammars	grammar	noun:plural
graduate	graduate	noun
graduate	graduate	verb:simple_present+
graduates	graduate	verb:simple_present+
graduated	graduate	verb:simple_past+
graduated	graduate	verb:past_participle+
graduating	graduate	verb:present_participle+
graduation	graduation	noun
graduations	graduation	noun:plural
get	get	noun
gets	get	noun:plural
get	get	verb:simple_present+transitive
gets	get	verb:simple_present+transitive
got	get	verb:simple_past+transitive
got	get	verb:past_participle+transitive
gotten	get	verb:past_participle+transitive
???	get	verb:present_participle+transitive
getting	get	verb:present_participle
got	got	verb:simple_present+
gots	got	verb:simple_present+
???	got	verb:simple_past+
???	got	verb:past_participle+
???	got	verb:present_participle+
got	got	verb:simple_present+
gots	got	verb:simple_present+
???	got	verb:simple_past+
???	got	verb:past_participle+
???	got	verb:present_participle+
gotten	gotten	verb:simple_present+
gottens	gotten	verb:simple_present+
???	gotten	verb:simple_past+
???	gotten	verb:past_participle+
???	gotten	verb:present_participle+
gave	gave	verb:simple_present+
gaves	gave	verb:simple_present+
gaved	gave	verb:simple_past+
gaved	gave	verb:past_participle+
gaving	gave	verb:present_participle+
given	given	verb:simple_present+
givens	given	verb:simple_present+
???	given	verb:simple_past+
???	given	verb:past_participle+
???	given	verb:present_participle+
given	given	noun
givens	given	noun:plural
go	go	verb:simple_present+intransitive
goes	go	verb:simple_present+intransitive
went	go	verb:simple_past+intransitive
gone	go	verb:past_participle+intransitive
going	go	verb:present_participle+intransitive
go	go	verb:simple_present+transitive
goes	go	verb:simple_present+transitive
went	go	verb:simple_past+transitive
gone	go	verb:past_participle+transitive
going	go	verb:present_participle+transitive
go	go	noun
goes	go	noun:plural
go	go	noun
grind	grind	noun
grind	grind	verb:simple_present+
grinds	grind	verb:simple_present+
ground	grind	verb:simple_past+
ground	grind	verb:past_participle+
grinding	grind	verb:present_participle+
grinding	grind	verb:present_participle
grow	grow	verb:simple_present+intransitive
grows	grow	verb:simple_present+intransitive
grew	grow	verb:simple_past+intransitive
grown	grow	verb:past_participle+intransitive
growing	grow	verb:present_participle+intransitive
grow	grow	verb:simple_present+transitive
grows	grow	verb:simple_present+transitive
grew	grow	verb:simple_past+transitive
grown	grow	verb:past_participle+transitive
growing	grow	verb:present_participle+transitive
grew	grew	verb:simple_present+
grews	grew	verb:simple_present+
???	grew	verb:simple_past+
???	grew	verb:past_participle+
???	grew	verb:present_participle+
grown	grown	verb:simple_present+
growns	grown	verb:simple_present+
growned	grown	verb:simple_past+
growned	grown	verb:past_participle+
growning	grown	verb:present_participle+
gerund	gerund	noun
grahamite	grahamite	noun
goiter	goiter	noun
gargantuan	gargantuan	adjective
gregarious	gregarious	adjective
goshawk	goshawk	noun
goat	goat	noun
goats	goat	noun:plural
guitar	guitar	noun
gull	gull	noun
gull	gull	verb:simple_present+
gulls	gull	verb:simple_present+
gulled	gull	verb:simple_past+
gulled	gull	verb:past_participle+
gulling	gull	verb:present_participle+
gulling	gull	verb:present_participle
goggles	goggles	noun
goddess	goddess	noun
goddesses	goddess	noun:plural
guts	guts	noun
generalissimo	generalissimo	noun
g	g	letter
g	g	noun
gearbox	gearbox	noun
gyre	gyre	noun
gyre	gyre	verb:simple_present+intransitive
gyres	gyre	verb:simple_present+intransitive
gyred	gyre	verb:simple_past+intransitive
gyred	gyre	verb:past_participle+intransitive
gyring	gyre	verb:present_participle+intransitive
gram	gram	noun
grams	gram	noun:plural
gram	gram	noun
gain	gain	verb:simple_present+transitive
gains	gain	verb:simple_present+transitive
gained	gain	verb:simple_past+transitive
gained	gain	verb:past_participle+transitive
gaining	gain	verb:present_participle+transitive
gaining	gain	verb:present_participle
gain	gain	noun
gains	gain	noun:plural
gem	gem	noun
gems	gem	noun:plural
gemstone	gemstone	noun
governator	governator	proper noun
girlfriend	girlfriend	noun
governor	governor	noun
grooming	grooming	verbal noun
grooming	grooming	noun
genitocrural	genitocrural	adjective
genitival	genitival	adjective
geniting	geniting	noun
genitor	genitor	noun
gender	gender	noun
genders	gender	noun:plural
generation	generation	noun
Genoa	Genoa	proper noun
group	group	noun
groups	group	noun:plural
group	group	verb:simple_present+transitive
groups	group	verb:simple_present+transitive
grouped	group	verb:simple_past+transitive
grouped	group	verb:past_participle+transitive
grouping	group	verb:present_participle+transitive
grouping	group	verb:present_participle
game	game	noun
games	game	noun:plural
game	game	adjective
game	game	verb:simple_present+transitive
games	game	verb:simple_present+transitive
gamed	game	verb:simple_past+transitive
gamed	game	verb:past_participle+transitive
gaming	game	verb:present_participle+transitive
garden	garden	noun
garden	garden	verb:simple_present+intransitive
gardens	garden	verb:simple_present+intransitive
???	garden	verb:simple_past+intransitive
???	garden	verb:past_participle+intransitive
gardening	garden	verb:present_participle+intransitive
garden	garden	adjective
granary	granary	noun
granarys	granary	noun:plural
gaelic	gaelic	noun
gaelic	gaelic	adjective
grandiloquent	grandiloquent	adjective
gallicize	gallicize	verb:simple_present+transitive
gallicizes	gallicize	verb:simple_present+transitive
gallicized	gallicize	verb:simple_past+transitive
gallicized	gallicize	verb:past_participle+transitive
gallicizing	gallicize	verb:present_participle+transitive
giraffe	giraffe	noun
giraffes	giraffe	noun:plural
glycolysis	glycolysis	noun
graph	graph	noun
graphs	graph	noun:plural
graph	graph	verb:simple_present+transitive
graphs	graph	verb:simple_present+transitive
